Item_Identifier,Item_Weight,Item_MRP,Item_Outlet_Sales
FDA15,9.3,249.8092,3735.138
DRC01,5.92,48.2692,443.4228
FDN15,17.5,141.618,2097.27
FDX07,19.2,182.095,732.38
NCD19,8.93,53.8614,994.7052
FDP36,10.395,51.4008,556.6088
FDO10,13.65,57.6588,343.5528
FDP10,,107.7622,4022.7636
FDH17,16.2,96.9726,1076.5986
FDU28,19.2,187.8214,4710.535
FDY07,11.8,45.5402,1516.0266
FDA03,18.5,144.1102,2187.153
FDX32,15.1,145.4786,1589.2646
FDS46,17.6,119.6782,2145.2076
FDF32,16.35,196.4426,1977.426
FDP49,9,56.3614,1547.3192
NCB42,11.8,115.3492,1621.8888
FDP49,9,54.3614,718.3982
DRI11,,113.2834,2303.668
FDU02,13.35,230.5352,2748.4224
FDN22,18.85,250.8724,3775.086
FDW12,,144.5444,4064.0432
NCB30,14.6,196.5084,1587.2672
FDC37,,107.6938,214.3876
FDR28,13.85,165.021,4078.025
NCD06,13,45.906,838.908
FDV10,7.645,42.3112,1065.28
DRJ59,11.65,39.1164,308.9312
FDE51,5.925,45.5086,178.4344
FDC14,,43.6454,125.8362
FDV38,19.25,55.7956,163.7868
NCS17,18.6,96.4436,2741.7644
FDP33,18.7,256.6672,3068.0064
FDO23,17.85,93.1436,2174.5028
DRH01,17.5,174.8738,2085.2856
NCX29,10,146.7102,3791.0652
FDV20,,128.0678,2797.6916
DRZ11,8.85,122.5388,1609.9044
FDX10,,36.9874,388.1614
FDB34,,87.6198,2180.495
FDU02,13.35,230.6352,3435.528
FDK43,9.8,126.002,2150.534
FDA46,13.6,192.9136,2527.3768
FDC02,21.35,259.9278,6768.5228
FDL50,12.15,126.5046,373.5138
FDM39,6.42,178.1002,358.2004
NCP05,19.6,153.3024,2428.8384
FDV49,10,265.2226,5815.0972
FDL12,15.85,60.622,2576.646
FDS02,,196.8794,780.3176
NCL17,7.39,143.8812,3134.5864
FDM40,10.195,141.5154,850.8924
FDR13,9.895,117.0492,810.9444
FDA43,10.895,196.3794,3121.2704
NCP18,12.15,151.4708,4815.0656
FDK21,7.905,249.0408,6258.52
NCX54,9.195,106.1622,2117.244
DRK35,8.365,38.0506,796.9626
FDY21,15.1,194.511,4910.275
FDI26,,180.0344,892.172
FDM20,10,246.9144,3185.1872
FDV27,7.97,87.3514,1062.6168
FDF09,,38.2848,484.7024
FDY40,,51.0692,147.8076
FDY45,,255.8356,2543.356
FDC46,17.7,185.4266,184.4266
